,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.8936170212765957,0.7636363636363637,0.8235294117647058,55.0
COSTS,0.6,0.6,0.6,25.0
ENERGY_POLICY,0.7272727272727273,0.4444444444444444,0.5517241379310345,18.0
ENVIRONMENTAL_IMPACT,0.8918918918918919,0.6470588235294118,0.75,51.0
FOSSIL_FUELS,1.0,0.75,0.8571428571428571,24.0
HEALTH_EFFECTS,0.7222222222222222,0.8387096774193549,0.7761194029850746,31.0
PUBLIC_DEBATE,0.25,0.6,0.35294117647058826,5.0
RELIABILITY,0.6842105263157895,0.5416666666666666,0.6046511627906976,24.0
RENEWABLES,0.8695652173913043,0.8695652173913043,0.8695652173913043,23.0
TECHNOLOGICAL_INNOVATION,0.3333333333333333,0.5,0.4,6.0
WASTE,0.6764705882352942,0.9583333333333334,0.7931034482758621,24.0
WEAPONS,0.8235294117647058,0.9333333333333333,0.875,15.0
micro avg,0.7569444444444444,0.7242524916943521,0.7402376910016978,301.0
macro avg,0.7060094116419887,0.7038956549795178,0.6878147345626772,301.0
weighted avg,0.7886196297747303,0.7242524916943521,0.7439936835273545,301.0
samples avg,0.7938988095238094,0.7851190476190476,0.7680059523809525,301.0
