,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.8541666666666666,0.7454545454545455,0.7961165048543689,55.0
COSTS,0.6296296296296297,0.68,0.6538461538461539,25.0
ENERGY_POLICY,0.7692307692307693,0.5555555555555556,0.6451612903225806,18.0
ENVIRONMENTAL_IMPACT,0.8717948717948718,0.6666666666666666,0.7555555555555555,51.0
FOSSIL_FUELS,1.0,0.7083333333333334,0.8292682926829268,24.0
HEALTH_EFFECTS,0.696969696969697,0.7419354838709677,0.71875,31.0
PUBLIC_DEBATE,0.3076923076923077,0.8,0.4444444444444444,5.0
RELIABILITY,0.6190476190476191,0.5416666666666666,0.5777777777777777,24.0
RENEWABLES,0.8333333333333334,0.8695652173913043,0.851063829787234,23.0
TECHNOLOGICAL_INNOVATION,0.375,0.5,0.42857142857142855,6.0
WASTE,0.6764705882352942,0.9583333333333334,0.7931034482758621,24.0
WEAPONS,1.0,0.9333333333333333,0.9655172413793104,15.0
micro avg,0.7525773195876289,0.7275747508305648,0.7398648648648649,301.0
macro avg,0.7194446235500157,0.7250703446338088,0.7049313306248036,301.0
weighted avg,0.7829941046547456,0.7275747508305648,0.7448987180113235,301.0
samples avg,0.796875,0.7866071428571428,0.7684523809523809,301.0
