,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.87 ± 0.02,0.76 ± 0.01,0.81 ± 0.01,55.00 ± 0.00
COSTS,0.63 ± 0.02,0.63 ± 0.04,0.63 ± 0.02,25.00 ± 0.00
ENERGY_POLICY,0.79 ± 0.06,0.46 ± 0.07,0.58 ± 0.05,18.00 ± 0.00
ENVIRONMENTAL_IMPACT,0.88 ± 0.01,0.65 ± 0.02,0.75 ± 0.01,51.00 ± 0.00
FOSSIL_FUELS,1.00 ± 0.00,0.74 ± 0.02,0.85 ± 0.01,24.00 ± 0.00
HEALTH_EFFECTS,0.72 ± 0.02,0.77 ± 0.05,0.75 ± 0.02,31.00 ± 0.00
PUBLIC_DEBATE,0.30 ± 0.04,0.80 ± 0.16,0.44 ± 0.07,5.00 ± 0.00
RELIABILITY,0.69 ± 0.06,0.54 ± 0.00,0.61 ± 0.02,24.00 ± 0.00
RENEWABLES,0.86 ± 0.02,0.87 ± 0.00,0.86 ± 0.01,23.00 ± 0.00
TECHNOLOGICAL_INNOVATION,0.36 ± 0.02,0.50 ± 0.00,0.42 ± 0.01,6.00 ± 0.00
WASTE,0.67 ± 0.01,0.94 ± 0.02,0.78 ± 0.02,24.00 ± 0.00
WEAPONS,0.92 ± 0.07,0.93 ± 0.00,0.92 ± 0.04,15.00 ± 0.00
micro avg,0.76 ± 0.01,0.72 ± 0.01,0.74 ± 0.00,301.00 ± 0.00
macro avg,0.72 ± 0.02,0.72 ± 0.01,0.70 ± 0.01,301.00 ± 0.00
weighted avg,0.79 ± 0.01,0.72 ± 0.01,0.74 ± 0.00,301.00 ± 0.00
samples avg,0.80 ± 0.01,0.78 ± 0.01,0.77 ± 0.00,301.00 ± 0.00
