response,model,created_at,done_reason,total_duration,load_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration,input_text,gold_label,label_count,mentioned_labels
"The correct label is COMMUNITY/SOCIETAL_EFFECTS 
",gemma2:27b,2024-09-13T03:22:02.211356186Z,stop,2074180626,56912422,1747,1591373000,15,380168000,"But Pace , the father of three young children , dismissed the idea that the cannabis industry had fundamentally changed the feel of the community .",['COMMUNITY/SOCIETAL_EFFECTS'],1,['COMMUNITY/SOCIETAL_EFFECTS']
"The correct label is **LEGAL_DRUGS** 


Let me know if you have any other text snippets you'd like me to analyze!",gemma2:27b,2024-09-13T03:22:03.25002238Z,stop,981355282,56126962,1743,65897000,31,816521000,“ Marijuana prohibition makes no more sense than alcohol prohibition did in the early 1900s . ”,['LEGAL_DRUGS'],1,['LEGAL_DRUGS']
"The correct label is HEALTH/PSYCHOLOGICAL_EFFECTS 


Let me know if you have any more text snippets you'd like me to analyze!  I'm ready.",gemma2:27b,2024-09-13T03:22:04.511743285Z,stop,1203175741,55805183,1770,89935000,38,1014356000,"Marijuana use raises the heart rate from 20 to 100 percent for up to three hours after it has been smoked , increasing the risk of getting other health problems , such as arrhythmia , heart palpitations and heart attack .",['HEALTH/PSYCHOLOGICAL_EFFECTS'],1,['HEALTH/PSYCHOLOGICAL_EFFECTS']
"The correct label is DRUG_POLICY 

Let me explain my reasoning for each output:


 **Input:**

*But through legalization , there will be open competition and lower prices , so drug cartels , which might include terrorists , would lose some or even all of their business .

**Output:** ILLEGAL_TRADE

This sentence directly addresses the impact of legalization on the black market controlled by drug cartels.


 **Input:** 
*Drug decriminalization would remove the "" glamorous Al Capone-type traffickers who are role-models for the young "" .

**Output:** ILLEGAL_TRADE

 This sentence discusses how decriminalization would eliminate the allure of  drug trafficking, suggesting a link to illegal trade.

 **Input:** 
*Even smoking weed at home will allow the drug to make its way to others , especially if it is a multi-level apartment complex .

**Output:** PERSONAL_FREEDOM

 This sentence highlights concerns about secondhand smoke and how personal use could potentially affect others, raising issues of personal freedom.

 **Input:** 
*Limiting the use of the drug intrudes on personal freedom .
**Output:** PERSONAL_FREEDOM

This statement directly argues that restrictions on marijuana use violate individual freedom.



 **Input:** 
*In 2000 , there were six times as many emergency room mentions of marijuana use as there were in 1990 , despite the fact that the number of people using marijuana is roughly the same .

**Output:** HARM

This sentence presents data suggesting an increase in marijuana-related health issues, implying potential harm.


 **Input:**
*She claims they do more harm than good .

**Output:** HARM
 This statement directly asserts that the subject (likely referring to drugs) causes more harm than benefits.



  **Input:**

*The United Nations Office of Drugs and Crime has also acknowledged the many "" unintended negative consequences "" of drug enforcement .

**Output:** COMMUNITY/SOCIETAL_EFFECTS

 This sentence discusses the broader societal impacts, both positive and negative, of drug enforcement policies.



 **Input:**
*"" Students suck on lollipops between classes , go into class stoned , learn nothing , and teachers are increasingly helpless .

**Output:** CHILD_AND_TEEN_SAFETY

This example portrays a negative scenario where marijuana use among students hinders their education and raises safety concerns. 


**Input:**
*Keeping marijuana illegal will undoubtedly keep many young people from using it .

 **Output:** CHILD_AND_TEEN_SAFETY

 This statement argues that maintaining marijuana's illegality helps prevent youth consumption.



Let me know if you would like to analyze more examples!",gemma2:27b,2024-09-13T03:22:20.101609337Z,stop,15492013312,57762993,1787,105307000,554,15241005000,"Decriminalization or re-legalization would mean that certain drugs would be legally available , but regulated by the government which would mean restrictions on advertising , age limitations , restrictions on the amount purchased at one time , requirements on the form in which certain drugs would be supplied and maybe a ban on sales to intoxicated persons , etc .",['DRUG_POLICY'],6,"['ILLEGAL_TRADE', 'PERSONAL_FREEDOM', 'HARM', 'COMMUNITY/SOCIETAL_EFFECTS', 'CHILD_AND_TEEN_SAFETY', 'DRUG_POLICY']"
"The correct label is GATEWAY_DRUG 


Let me know if you'd like to try another example!",gemma2:27b,2024-09-13T03:22:22.528096726Z,stop,2371819193,55623360,1736,1620329000,25,651495000,They also know that marijuana is the starter drug of choice for most criminals .,['GATEWAY_DRUG'],1,['GATEWAY_DRUG']
"The correct label is DRUG_POLICY 

Let me know if you have any other text snippets you'd like me to analyze!",gemma2:27b,2024-09-13T03:22:23.59354822Z,stop,968917607,55518176,1762,89660000,28,736519000,"This may require changes in drug policy , and perhaps in sentencing guidelines for marijuana users charged with simple possession , but simply legalizing a harmful drug — that is , giving up — is not a responsible option .","['DRUG_POLICY', 'HARM']",1,['DRUG_POLICY']
"The correct label is LEGAL_DRUGS

Let me explain why this codebook annotation system works well for classifying arguments about marijuana legalization:


* **Specificity:**  Each aspect focuses on a distinct sub-topic within the broader debate. This prevents ambiguity and ensures accurate labeling.
* **Real-World Relevance:** The aspects chosen reflect the key concerns, arguments, and perspectives commonly found in discussions about marijuana legalization.

**Example Breakdown:**

Let's take your example: *""But neither are there such answers about tobacco or alcohol, and we believe that on every level — health effects, the impact on society and law-and-order issues — the balance falls squarely on the side of national legalization.""*

This statement clearly argues for marijuana legalization by comparing it to legal substances like tobacco and alcohol. The core argument revolves around how societal impacts (health effects, law & order) are considered when deciding legality.  Therefore, ""**LEGAL_DRUGS**"" is the most appropriate label. 
",gemma2:27b,2024-09-13T03:22:29.391319589Z,stop,5783308232,55873876,1766,90649000,203,5548988000,"But neither are there such answers about tobacco or alcohol , and we believe that on every level — health effects , the impact on society and law-and-order issues — the balance falls squarely on the side of national legalization .",['LEGAL_DRUGS'],1,['LEGAL_DRUGS']
"The correct label is **DRUG_ABUSE** 

Let me know if you have any other text snippets you'd like me to analyze!  I'm ready for more. 😊 
",gemma2:27b,2024-09-13T03:22:30.835720393Z,stop,1343105397,55834046,1762,89985000,43,1150455000,"The California Chamber of Commerce has also expressed its opposition to the legalization of marijuana , citing that drug users will not be able to perform at work and that passage could create a new class of protected California citizens .",['HEALTH/PSYCHOLOGICAL_EFFECTS'],1,['DRUG_ABUSE']
"The correct label is HEALTH/PSYCHOLOGICAL_EFFECTS 

Let me know if you'd like to try another example!",gemma2:27b,2024-09-13T03:22:31.767254627Z,stop,874585970,55744503,1742,67109000,27,708586000,A recent survey of all the medical literature concluded that regular use of cannabis actually doubled your risk of psychosis .,['HEALTH/PSYCHOLOGICAL_EFFECTS'],1,['HEALTH/PSYCHOLOGICAL_EFFECTS']
"The correct label is NATIONAL_BUDGET 

Let me know if you have more text snippets to code! I'm ready.",gemma2:27b,2024-09-13T03:22:32.787708076Z,stop,923198224,55292343,1749,70129000,27,710464000,"Ducey 's argument that the costs "" will far , far outweigh any tax revenue "" is a guess , according to the JLBC .",['NATIONAL_BUDGET'],1,['NATIONAL_BUDGET']
