,precision,recall,f1-score,support
ADDICTION,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
CHILD_AND_TEEN_SAFETY,0.875,0.6666666666666666,0.7567567567567568,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.8333333333333334,0.38461538461538464,0.5263157894736842,39.0
DRUG_ABUSE,0.36666666666666664,0.9166666666666666,0.5238095238095238,12.0
DRUG_POLICY,0.52,0.6842105263157895,0.5909090909090909,19.0
GATEWAY_DRUG,1.0,0.9090909090909091,0.9523809523809523,11.0
HARM,0.5,0.2777777777777778,0.35714285714285715,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.8148148148148148,0.5945945945945946,0.6875,37.0
ILLEGAL_TRADE,0.7,0.8235294117647058,0.7567567567567568,17.0
LEGAL_DRUGS,0.7,0.4117647058823529,0.5185185185185185,17.0
MEDICAL_MARIJUANA,0.9,0.75,0.8181818181818182,24.0
NATIONAL_BUDGET,0.8260869565217391,0.8260869565217391,0.8260869565217391,23.0
PERSONAL_FREEDOM,0.7777777777777778,0.875,0.8235294117647058,8.0
micro avg,0.7205240174672489,0.6395348837209303,0.6776180698151951,258.0
macro avg,0.7479054198619417,0.6887182256330708,0.6928810499698237,258.0
weighted avg,0.7629242685250438,0.6395348837209303,0.6729167357285702,258.0
samples avg,0.7469344608879492,0.6945736434108526,0.7069767441860465,258.0
