,precision,recall,f1-score,support
ADDICTION,0.76 ± 0.11,0.89 ± 0.04,0.81 ± 0.05,12.00 ± 0.00
CHILD_AND_TEEN_SAFETY,0.82 ± 0.05,0.71 ± 0.04,0.76 ± 0.01,21.00 ± 0.00
COMMUNITY/SOCIETAL_EFFECTS,0.80 ± 0.08,0.39 ± 0.01,0.53 ± 0.01,39.00 ± 0.00
DRUG_ABUSE,0.38 ± 0.01,0.92 ± 0.00,0.53 ± 0.01,12.00 ± 0.00
DRUG_POLICY,0.54 ± 0.04,0.70 ± 0.07,0.61 ± 0.05,19.00 ± 0.00
GATEWAY_DRUG,0.97 ± 0.04,0.91 ± 0.00,0.94 ± 0.02,11.00 ± 0.00
HARM,0.50 ± 0.14,0.28 ± 0.05,0.36 ± 0.07,18.00 ± 0.00
HEALTH/PSYCHOLOGICAL_EFFECTS,0.82 ± 0.01,0.56 ± 0.03,0.66 ± 0.02,37.00 ± 0.00
ILLEGAL_TRADE,0.64 ± 0.04,0.80 ± 0.03,0.71 ± 0.04,17.00 ± 0.00
LEGAL_DRUGS,0.70 ± 0.01,0.37 ± 0.06,0.48 ± 0.05,17.00 ± 0.00
MEDICAL_MARIJUANA,0.89 ± 0.02,0.76 ± 0.02,0.82 ± 0.02,24.00 ± 0.00
NATIONAL_BUDGET,0.79 ± 0.03,0.83 ± 0.00,0.81 ± 0.01,23.00 ± 0.00
PERSONAL_FREEDOM,0.71 ± 0.06,0.92 ± 0.06,0.80 ± 0.05,8.00 ± 0.00
micro avg,0.70 ± 0.02,0.64 ± 0.00,0.67 ± 0.01,258.00 ± 0.00
macro avg,0.72 ± 0.02,0.70 ± 0.01,0.68 ± 0.01,258.00 ± 0.00
weighted avg,0.74 ± 0.02,0.64 ± 0.00,0.66 ± 0.01,258.00 ± 0.00
samples avg,0.74 ± 0.00,0.70 ± 0.00,0.70 ± 0.00,258.00 ± 0.00
