,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.5,0.375,0.42857142857142855,8.0
COMPETITION/BUSINESS_CHALLENGES,0.4375,0.3333333333333333,0.3783783783783784,21.0
ECONOMIC_IMPACT,0.0,0.0,0.0,12.0
GOVERNMENT,0.7777777777777778,0.7,0.7368421052631579,10.0
LOW-SKILLED,0.875,1.0,0.9333333333333333,14.0
MOTIVATION/CHANCES,0.8333333333333334,0.25,0.38461538461538464,20.0
PRICES,0.9565217391304348,0.6875,0.8,32.0
SOCIAL_JUSTICE/INJUSTICE,0.717948717948718,0.4745762711864407,0.5714285714285714,59.0
TURNOVER,1.0,0.2,0.3333333333333333,5.0
UN/EMPLOYMENT_RATE,0.8823529411764706,0.30612244897959184,0.45454545454545453,49.0
WELFARE,0.75,0.5,0.6,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.4166666666666667,1.0,0.5882352941176471,5.0
micro avg,0.738255033557047,0.45643153526970953,0.5641025641025641,241.0
macro avg,0.6789250980027833,0.48554433779161377,0.517440273632224,241.0
weighted avg,0.7372126220189755,0.45643153526970953,0.5365011158107519,241.0
samples avg,0.5599226804123711,0.4982817869415807,0.5148911798396334,241.0
