,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.6666666666666666,0.25,0.36363636363636365,8.0
COMPETITION/BUSINESS_CHALLENGES,0.4666666666666667,0.3333333333333333,0.3888888888888889,21.0
ECONOMIC_IMPACT,0.0,0.0,0.0,12.0
GOVERNMENT,0.7272727272727273,0.8,0.7619047619047619,10.0
LOW-SKILLED,0.9333333333333333,1.0,0.9655172413793104,14.0
MOTIVATION/CHANCES,1.0,0.25,0.4,20.0
PRICES,1.0,0.65625,0.7924528301886793,32.0
SOCIAL_JUSTICE/INJUSTICE,0.8108108108108109,0.5084745762711864,0.625,59.0
TURNOVER,0.0,0.0,0.0,5.0
UN/EMPLOYMENT_RATE,0.8571428571428571,0.3673469387755102,0.5142857142857142,49.0
WELFARE,0.5,0.3333333333333333,0.4,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.5,1.0,0.6666666666666666,5.0
micro avg,0.7832167832167832,0.46473029045643155,0.5833333333333334,241.0
macro avg,0.6218244218244218,0.4582281818094469,0.4898627055791988,241.0
weighted avg,0.7585500626994403,0.46473029045643155,0.5534392965704839,241.0
samples avg,0.5706185567010309,0.5060137457044673,0.5240549828178694,241.0
