,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.47 ± 0.17,0.25 ± 0.10,0.32 ± 0.11,8.00 ± 0.00
COMPETITION/BUSINESS_CHALLENGES,0.44 ± 0.02,0.33 ± 0.00,0.38 ± 0.01,21.00 ± 0.00
ECONOMIC_IMPACT,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,12.00 ± 0.00
GOVERNMENT,0.79 ± 0.06,0.73 ± 0.05,0.76 ± 0.02,10.00 ± 0.00
LOW-SKILLED,0.87 ± 0.05,0.98 ± 0.03,0.92 ± 0.04,14.00 ± 0.00
MOTIVATION/CHANCES,0.89 ± 0.08,0.25 ± 0.00,0.39 ± 0.01,20.00 ± 0.00
PRICES,0.99 ± 0.02,0.67 ± 0.01,0.79 ± 0.00,32.00 ± 0.00
SOCIAL_JUSTICE/INJUSTICE,0.77 ± 0.04,0.49 ± 0.02,0.60 ± 0.02,59.00 ± 0.00
TURNOVER,0.33 ± 0.47,0.07 ± 0.09,0.11 ± 0.16,5.00 ± 0.00
UN/EMPLOYMENT_RATE,0.86 ± 0.02,0.33 ± 0.03,0.47 ± 0.03,49.00 ± 0.00
WELFARE,0.67 ± 0.12,0.44 ± 0.08,0.53 ± 0.09,6.00 ± 0.00
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.49 ± 0.06,1.00 ± 0.00,0.66 ± 0.05,5.00 ± 0.00
micro avg,0.76 ± 0.02,0.45 ± 0.01,0.57 ± 0.01,241.00 ± 0.00
macro avg,0.63 ± 0.04,0.46 ± 0.02,0.49 ± 0.02,241.00 ± 0.00
weighted avg,0.74 ± 0.02,0.45 ± 0.01,0.54 ± 0.01,241.00 ± 0.00
samples avg,0.56 ± 0.01,0.49 ± 0.01,0.51 ± 0.01,241.00 ± 0.00
