,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.90 ± 0.02,0.65 ± 0.01,0.75 ± 0.01,55.00 ± 0.00
COSTS,0.75 ± 0.04,0.55 ± 0.02,0.63 ± 0.03,25.00 ± 0.00
ENERGY_POLICY,0.69 ± 0.03,0.48 ± 0.03,0.56 ± 0.01,18.00 ± 0.00
ENVIRONMENTAL_IMPACT,0.91 ± 0.02,0.55 ± 0.03,0.69 ± 0.03,51.00 ± 0.00
FOSSIL_FUELS,0.93 ± 0.05,0.56 ± 0.02,0.70 ± 0.01,24.00 ± 0.00
HEALTH_EFFECTS,0.73 ± 0.03,0.78 ± 0.05,0.76 ± 0.04,31.00 ± 0.00
PUBLIC_DEBATE,0.21 ± 0.02,0.60 ± 0.00,0.31 ± 0.02,5.00 ± 0.00
RELIABILITY,0.66 ± 0.05,0.43 ± 0.02,0.52 ± 0.03,24.00 ± 0.00
RENEWABLES,0.84 ± 0.02,0.83 ± 0.00,0.83 ± 0.01,23.00 ± 0.00
TECHNOLOGICAL_INNOVATION,0.35 ± 0.02,1.00 ± 0.00,0.52 ± 0.03,6.00 ± 0.00
WASTE,0.81 ± 0.02,0.65 ± 0.02,0.72 ± 0.02,24.00 ± 0.00
WEAPONS,0.75 ± 0.02,0.84 ± 0.03,0.79 ± 0.02,15.00 ± 0.00
micro avg,0.75 ± 0.02,0.63 ± 0.01,0.68 ± 0.01,301.00 ± 0.00
macro avg,0.71 ± 0.02,0.66 ± 0.01,0.65 ± 0.01,301.00 ± 0.00
weighted avg,0.80 ± 0.02,0.63 ± 0.01,0.69 ± 0.01,301.00 ± 0.00
samples avg,0.78 ± 0.00,0.71 ± 0.01,0.72 ± 0.01,301.00 ± 0.00
