,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.16666666666666666,0.125,0.14285714285714285,8.0
COMPETITION/BUSINESS_CHALLENGES,0.37037037037037035,0.47619047619047616,0.4166666666666667,21.0
ECONOMIC_IMPACT,0.22641509433962265,1.0,0.36923076923076925,12.0
GOVERNMENT,0.6666666666666666,0.6,0.631578947368421,10.0
LOW-SKILLED,0.6666666666666666,0.8571428571428571,0.75,14.0
MOTIVATION/CHANCES,0.7333333333333333,0.55,0.6285714285714286,20.0
PRICES,0.7380952380952381,0.96875,0.8378378378378378,32.0
SOCIAL_JUSTICE/INJUSTICE,0.8222222222222222,0.6271186440677966,0.7115384615384616,59.0
TURNOVER,0.38461538461538464,1.0,0.5555555555555556,5.0
UN/EMPLOYMENT_RATE,0.7941176470588235,0.5510204081632653,0.6506024096385542,49.0
WELFARE,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.45454545454545453,1.0,0.625,5.0
micro avg,0.574468085106383,0.6721991701244814,0.6195028680688337,241.0
macro avg,0.5482725250113337,0.7157129765748107,0.5821754904942921,241.0
weighted avg,0.6683229040457754,0.6721991701244814,0.6401855614538843,241.0
samples avg,0.6460481099656357,0.6984536082474226,0.6459159397303728,241.0
