,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.32 ± 0.11,0.21 ± 0.06,0.25 ± 0.08,8.00 ± 0.00
COMPETITION/BUSINESS_CHALLENGES,0.38 ± 0.01,0.46 ± 0.02,0.42 ± 0.01,21.00 ± 0.00
ECONOMIC_IMPACT,0.25 ± 0.02,1.00 ± 0.00,0.40 ± 0.02,12.00 ± 0.00
GOVERNMENT,0.79 ± 0.08,0.57 ± 0.05,0.65 ± 0.04,10.00 ± 0.00
LOW-SKILLED,0.68 ± 0.05,0.81 ± 0.07,0.74 ± 0.05,14.00 ± 0.00
MOTIVATION/CHANCES,0.77 ± 0.03,0.50 ± 0.11,0.60 ± 0.09,20.00 ± 0.00
PRICES,0.79 ± 0.04,0.97 ± 0.00,0.87 ± 0.02,32.00 ± 0.00
SOCIAL_JUSTICE/INJUSTICE,0.82 ± 0.00,0.60 ± 0.02,0.70 ± 0.01,59.00 ± 0.00
TURNOVER,0.68 ± 0.21,1.00 ± 0.00,0.79 ± 0.17,5.00 ± 0.00
UN/EMPLOYMENT_RATE,0.81 ± 0.01,0.50 ± 0.04,0.62 ± 0.03,49.00 ± 0.00
WELFARE,0.65 ± 0.07,0.78 ± 0.08,0.70 ± 0.05,6.00 ± 0.00
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.45 ± 0.00,1.00 ± 0.00,0.62 ± 0.00,5.00 ± 0.00
micro avg,0.61 ± 0.03,0.65 ± 0.02,0.63 ± 0.01,241.00 ± 0.00
macro avg,0.62 ± 0.05,0.70 ± 0.02,0.61 ± 0.03,241.00 ± 0.00
weighted avg,0.70 ± 0.03,0.65 ± 0.02,0.64 ± 0.01,241.00 ± 0.00
samples avg,0.65 ± 0.01,0.67 ± 0.02,0.64 ± 0.01,241.00 ± 0.00
