,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.746268656716418,0.9090909090909091,0.819672131147541,55.0
COSTS,0.7142857142857143,0.8,0.7547169811320755,25.0
ENERGY_POLICY,0.42105263157894735,0.4444444444444444,0.43243243243243246,18.0
ENVIRONMENTAL_IMPACT,0.9024390243902439,0.7254901960784313,0.8043478260869565,51.0
FOSSIL_FUELS,0.9444444444444444,0.7083333333333334,0.8095238095238095,24.0
HEALTH_EFFECTS,0.7419354838709677,0.7419354838709677,0.7419354838709677,31.0
PUBLIC_DEBATE,0.2857142857142857,0.8,0.42105263157894735,5.0
RELIABILITY,0.5714285714285714,0.5,0.5333333333333333,24.0
RENEWABLES,0.8636363636363636,0.8260869565217391,0.8444444444444444,23.0
TECHNOLOGICAL_INNOVATION,0.26666666666666666,0.6666666666666666,0.38095238095238093,6.0
WASTE,0.6571428571428571,0.9583333333333334,0.7796610169491526,24.0
WEAPONS,0.8235294117647058,0.9333333333333333,0.875,15.0
micro avg,0.7042682926829268,0.7674418604651163,0.7344992050874404,301.0
macro avg,0.6615453426366822,0.7511428880560965,0.6830893726210033,301.0
weighted avg,0.7405408189698628,0.7674418604651163,0.7429702663017194,301.0
samples avg,0.7622767857142857,0.8107886904761905,0.7609121533228677,301.0
