,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.73 ± 0.02,0.88 ± 0.02,0.80 ± 0.02,55.00 ± 0.00
COSTS,0.70 ± 0.04,0.81 ± 0.02,0.75 ± 0.01,25.00 ± 0.00
ENERGY_POLICY,0.41 ± 0.02,0.43 ± 0.03,0.42 ± 0.02,18.00 ± 0.00
ENVIRONMENTAL_IMPACT,0.87 ± 0.02,0.68 ± 0.03,0.76 ± 0.03,51.00 ± 0.00
FOSSIL_FUELS,0.94 ± 0.06,0.75 ± 0.03,0.83 ± 0.02,24.00 ± 0.00
HEALTH_EFFECTS,0.75 ± 0.01,0.71 ± 0.05,0.73 ± 0.03,31.00 ± 0.00
PUBLIC_DEBATE,0.26 ± 0.04,0.73 ± 0.09,0.38 ± 0.06,5.00 ± 0.00
RELIABILITY,0.59 ± 0.03,0.49 ± 0.02,0.53 ± 0.02,24.00 ± 0.00
RENEWABLES,0.87 ± 0.02,0.84 ± 0.05,0.85 ± 0.02,23.00 ± 0.00
TECHNOLOGICAL_INNOVATION,0.30 ± 0.02,0.78 ± 0.08,0.43 ± 0.03,6.00 ± 0.00
WASTE,0.69 ± 0.03,0.93 ± 0.02,0.79 ± 0.02,24.00 ± 0.00
WEAPONS,0.86 ± 0.05,0.96 ± 0.03,0.91 ± 0.04,15.00 ± 0.00
micro avg,0.70 ± 0.01,0.76 ± 0.01,0.73 ± 0.01,301.00 ± 0.00
macro avg,0.66 ± 0.01,0.75 ± 0.00,0.68 ± 0.00,301.00 ± 0.00
weighted avg,0.74 ± 0.01,0.76 ± 0.01,0.74 ± 0.01,301.00 ± 0.00
samples avg,0.76 ± 0.00,0.80 ± 0.01,0.75 ± 0.01,301.00 ± 0.00
