,precision,recall,f1-score,support
ADDICTION,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
CHILD_AND_TEEN_SAFETY,0.9411764705882353,0.7619047619047619,0.8421052631578947,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.9285714285714286,0.3333333333333333,0.49056603773584906,39.0
DRUG_ABUSE,0.5454545454545454,0.5,0.5217391304347826,12.0
DRUG_POLICY,0.7,0.7368421052631579,0.717948717948718,19.0
GATEWAY_DRUG,1.0,0.9090909090909091,0.9523809523809523,11.0
HARM,0.25,0.8888888888888888,0.3902439024390244,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.75,0.40540540540540543,0.5263157894736842,37.0
ILLEGAL_TRADE,0.7647058823529411,0.7647058823529411,0.7647058823529411,17.0
LEGAL_DRUGS,0.3,0.17647058823529413,0.2222222222222222,17.0
MEDICAL_MARIJUANA,0.9090909090909091,0.8333333333333334,0.8695652173913043,24.0
NATIONAL_BUDGET,0.9444444444444444,0.7391304347826086,0.8292682926829268,23.0
PERSONAL_FREEDOM,0.8333333333333334,0.625,0.7142857142857143,8.0
micro avg,0.6583333333333333,0.6124031007751938,0.6345381526104418,258.0
macro avg,0.7519898402251344,0.6544183827633822,0.6700701799921014,258.0
weighted avg,0.7685682471250186,0.6124031007751938,0.6455892565299765,258.0
samples avg,0.6782945736434107,0.6651162790697674,0.6595348837209303,258.0
