,precision,recall,f1-score,support
ADDICTION,0.6875,0.9166666666666666,0.7857142857142857,12.0
CHILD_AND_TEEN_SAFETY,0.8181818181818182,0.8571428571428571,0.8372093023255814,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.8125,0.3333333333333333,0.4727272727272727,39.0
DRUG_ABUSE,0.5,0.5,0.5,12.0
DRUG_POLICY,0.6666666666666666,0.631578947368421,0.6486486486486487,19.0
GATEWAY_DRUG,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
HARM,0.22950819672131148,0.7777777777777778,0.35443037974683544,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.7142857142857143,0.40540540540540543,0.5172413793103449,37.0
ILLEGAL_TRADE,0.6666666666666666,0.7058823529411765,0.6857142857142857,17.0
LEGAL_DRUGS,0.15384615384615385,0.11764705882352941,0.13333333333333333,17.0
MEDICAL_MARIJUANA,0.8,0.8333333333333334,0.8163265306122449,24.0
NATIONAL_BUDGET,0.8636363636363636,0.8260869565217391,0.8444444444444444,23.0
PERSONAL_FREEDOM,0.7142857142857143,0.625,0.6666666666666666,8.0
micro avg,0.596958174904943,0.6085271317829457,0.6026871401151631,258.0
macro avg,0.6508008175095187,0.6491496614157806,0.6255401343565575,258.0
weighted avg,0.6753450019819637,0.6085271317829457,0.6090106659433554,258.0
samples avg,0.6587954680977937,0.6542635658914728,0.6424086378737541,258.0
