,precision,recall,f1-score,support
ADDICTION,0.79 ± 0.09,0.86 ± 0.04,0.82 ± 0.04,12.00 ± 0.00
CHILD_AND_TEEN_SAFETY,0.90 ± 0.06,0.79 ± 0.04,0.84 ± 0.00,21.00 ± 0.00
COMMUNITY/SOCIETAL_EFFECTS,0.84 ± 0.07,0.33 ± 0.00,0.48 ± 0.01,39.00 ± 0.00
DRUG_ABUSE,0.52 ± 0.02,0.47 ± 0.04,0.49 ± 0.03,12.00 ± 0.00
DRUG_POLICY,0.68 ± 0.02,0.67 ± 0.05,0.67 ± 0.03,19.00 ± 0.00
GATEWAY_DRUG,0.94 ± 0.08,0.91 ± 0.00,0.92 ± 0.04,11.00 ± 0.00
HARM,0.23 ± 0.01,0.81 ± 0.05,0.36 ± 0.02,18.00 ± 0.00
HEALTH/PSYCHOLOGICAL_EFFECTS,0.72 ± 0.03,0.39 ± 0.03,0.50 ± 0.03,37.00 ± 0.00
ILLEGAL_TRADE,0.73 ± 0.04,0.73 ± 0.03,0.73 ± 0.03,17.00 ± 0.00
LEGAL_DRUGS,0.25 ± 0.07,0.16 ± 0.03,0.19 ± 0.04,17.00 ± 0.00
MEDICAL_MARIJUANA,0.86 ± 0.05,0.83 ± 0.00,0.85 ± 0.02,24.00 ± 0.00
NATIONAL_BUDGET,0.94 ± 0.06,0.75 ± 0.05,0.83 ± 0.01,23.00 ± 0.00
PERSONAL_FREEDOM,0.85 ± 0.12,0.62 ± 0.00,0.72 ± 0.04,8.00 ± 0.00
micro avg,0.63 ± 0.03,0.60 ± 0.02,0.61 ± 0.02,258.00 ± 0.00
macro avg,0.71 ± 0.04,0.64 ± 0.02,0.65 ± 0.02,258.00 ± 0.00
weighted avg,0.72 ± 0.04,0.60 ± 0.02,0.62 ± 0.02,258.00 ± 0.00
samples avg,0.66 ± 0.02,0.65 ± 0.02,0.64 ± 0.02,258.00 ± 0.00
