,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.4,0.25,0.3076923076923077,8.0
COMPETITION/BUSINESS_CHALLENGES,0.5,0.42857142857142855,0.46153846153846156,21.0
ECONOMIC_IMPACT,0.26666666666666666,1.0,0.42105263157894735,12.0
GOVERNMENT,0.6666666666666666,0.8,0.7272727272727273,10.0
LOW-SKILLED,0.6666666666666666,0.8571428571428571,0.75,14.0
MOTIVATION/CHANCES,0.7272727272727273,0.4,0.5161290322580645,20.0
PRICES,0.896551724137931,0.8125,0.8524590163934426,32.0
SOCIAL_JUSTICE/INJUSTICE,0.8297872340425532,0.6610169491525424,0.7358490566037735,59.0
TURNOVER,0.7142857142857143,1.0,0.8333333333333334,5.0
UN/EMPLOYMENT_RATE,0.8064516129032258,0.5102040816326531,0.625,49.0
WELFARE,0.5,0.8333333333333334,0.625,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.5,0.8,0.6153846153846154,5.0
micro avg,0.6431535269709544,0.6431535269709544,0.6431535269709544,241.0
macro avg,0.6228624177201793,0.6960640541527345,0.6225592651713061,241.0
weighted avg,0.7206643739836747,0.6431535269709544,0.65400065667421,241.0
samples avg,0.7016036655211914,0.6752577319587629,0.6670103092783506,241.0
