,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.7755102040816326,0.6909090909090909,0.7307692307692307,55.0
COSTS,0.5666666666666667,0.68,0.6181818181818182,25.0
ENERGY_POLICY,0.42857142857142855,0.5,0.46153846153846156,18.0
ENVIRONMENTAL_IMPACT,0.7446808510638298,0.6862745098039216,0.7142857142857143,51.0
FOSSIL_FUELS,0.75,0.625,0.6818181818181818,24.0
HEALTH_EFFECTS,0.6097560975609756,0.8064516129032258,0.6944444444444444,31.0
PUBLIC_DEBATE,0.17647058823529413,0.6,0.2727272727272727,5.0
RELIABILITY,0.4857142857142857,0.7083333333333334,0.576271186440678,24.0
RENEWABLES,0.6111111111111112,0.4782608695652174,0.5365853658536586,23.0
TECHNOLOGICAL_INNOVATION,0.23529411764705882,0.6666666666666666,0.34782608695652173,6.0
WASTE,0.6363636363636364,0.875,0.7368421052631579,24.0
WEAPONS,0.56,0.9333333333333333,0.7,15.0
micro avg,0.5920679886685553,0.6943521594684385,0.6391437308868502,301.0
macro avg,0.5483449155846599,0.6875191180428991,0.5892741556899284,301.0
weighted avg,0.6348661772975823,0.6943521594684385,0.6514329113801752,301.0
samples avg,0.7579816017316018,0.7458333333333333,0.7204899267399268,301.0
