,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.80 ± 0.03,0.71 ± 0.03,0.75 ± 0.03,55.00 ± 0.00
COSTS,0.62 ± 0.04,0.68 ± 0.00,0.65 ± 0.02,25.00 ± 0.00
ENERGY_POLICY,0.45 ± 0.02,0.54 ± 0.03,0.49 ± 0.02,18.00 ± 0.00
ENVIRONMENTAL_IMPACT,0.79 ± 0.03,0.64 ± 0.03,0.70 ± 0.01,51.00 ± 0.00
FOSSIL_FUELS,0.76 ± 0.04,0.57 ± 0.04,0.65 ± 0.03,24.00 ± 0.00
HEALTH_EFFECTS,0.66 ± 0.04,0.75 ± 0.04,0.70 ± 0.01,31.00 ± 0.00
PUBLIC_DEBATE,0.23 ± 0.03,0.60 ± 0.00,0.33 ± 0.04,5.00 ± 0.00
RELIABILITY,0.52 ± 0.03,0.62 ± 0.06,0.56 ± 0.02,24.00 ± 0.00
RENEWABLES,0.75 ± 0.14,0.55 ± 0.07,0.64 ± 0.10,23.00 ± 0.00
TECHNOLOGICAL_INNOVATION,0.23 ± 0.01,0.56 ± 0.08,0.32 ± 0.02,6.00 ± 0.00
WASTE,0.65 ± 0.03,0.81 ± 0.05,0.72 ± 0.01,24.00 ± 0.00
WEAPONS,0.66 ± 0.08,0.93 ± 0.05,0.77 ± 0.06,15.00 ± 0.00
micro avg,0.64 ± 0.03,0.67 ± 0.02,0.65 ± 0.01,301.00 ± 0.00
macro avg,0.59 ± 0.03,0.66 ± 0.02,0.61 ± 0.01,301.00 ± 0.00
weighted avg,0.68 ± 0.03,0.67 ± 0.02,0.67 ± 0.01,301.00 ± 0.00
samples avg,0.77 ± 0.01,0.73 ± 0.01,0.72 ± 0.00,301.00 ± 0.00
