,precision,recall,f1-score,support
ADDICTION,0.44,0.9166666666666666,0.5945945945945946,12.0
CHILD_AND_TEEN_SAFETY,0.76,0.9047619047619048,0.8260869565217391,21.0
COMMUNITY/SOCIATAL_EFFECTS,0.7368421052631579,0.358974358974359,0.4827586206896552,39.0
DRUG_ABUSE,0.15384615384615385,0.16666666666666666,0.16,12.0
DRUG_POLICY,0.3939393939393939,0.6842105263157895,0.5,19.0
GATEWAY_DRUG,0.7857142857142857,1.0,0.88,11.0
HARM,0.14634146341463414,0.6666666666666666,0.24,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.4155844155844156,0.8648648648648649,0.5614035087719298,37.0
ILLEGAL_TRADE,0.4666666666666667,0.8235294117647058,0.5957446808510638,17.0
LEGAL_DRUGS,0.1724137931034483,0.29411764705882354,0.21739130434782608,17.0
MEDICAL_MARIJUANA,0.7916666666666666,0.7916666666666666,0.7916666666666666,24.0
NATIONAL_BUDGET,0.65625,0.9130434782608695,0.7636363636363637,23.0
PERSONAL_FREEDOM,0.6666666666666666,0.75,0.7058823529411765,8.0
micro avg,0.4344660194174757,0.6937984496124031,0.5343283582089552,258.0
macro avg,0.50661012391273,0.7027052968206141,0.5630126960785398,258.0
weighted avg,0.528112102506336,0.6937984496124031,0.5640948999577384,258.0
samples avg,0.5207087486157254,0.7217054263565891,0.5795201181247693,258.0
