response,model,created_at,done_reason,total_duration,load_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration,input_text,gold_label,label_count,mentioned_labels
"COMMUNITY/SOCIATAL_EFFECTS 
",gemma2:27b,2024-09-11T14:56:52.157873996Z,stop,458867036,57457568,218,53001000,11,261828000,"But Pace , the father of three young children , dismissed the idea that the cannabis industry had fundamentally changed the feel of the community .",['COMMUNITY/SOCIATAL_EFFECTS'],1,['COMMUNITY/SOCIATAL_EFFECTS']
"DRUG_POLICY 
PERSONAL_FREEDOM 
",gemma2:27b,2024-09-11T14:56:52.666634299Z,stop,462816871,55245963,214,50556000,13,313014000,“ Marijuana prohibition makes no more sense than alcohol prohibition did in the early 1900s . ”,['LEGAL_DRUGS'],2,"['PERSONAL_FREEDOM', 'DRUG_POLICY']"
"HEALTH/PSYCHOLOGICAL_EFFECTS, HARM 
",gemma2:27b,2024-09-11T14:56:53.193991527Z,stop,482267349,53569808,241,69885000,13,312407000,"Marijuana use raises the heart rate from 20 to 100 percent for up to three hours after it has been smoked , increasing the risk of getting other health problems , such as arrhythmia , heart palpitations and heart attack .",['HEALTH/PSYCHOLOGICAL_EFFECTS'],2,"['HARM', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
"LEGAL_DRUGS, DRUG_POLICY 
",gemma2:27b,2024-09-11T14:56:53.686953612Z,stop,447211749,58171768,258,82621000,11,261128000,"Decriminalization or re-legalization would mean that certain drugs would be legally available , but regulated by the government which would mean restrictions on advertising , age limitations , restrictions on the amount purchased at one time , requirements on the form in which certain drugs would be supplied and maybe a ban on sales to intoxicated persons , etc .",['DRUG_POLICY'],2,"['LEGAL_DRUGS', 'DRUG_POLICY']"
"GATEWAY_DRUG 
HARM 
ILLEGAL_TRADE 


",gemma2:27b,2024-09-11T14:56:54.327933126Z,stop,592760913,59201633,207,45940000,18,442357000,They also know that marijuana is the starter drug of choice for most criminals .,['GATEWAY_DRUG'],3,"['HARM', 'ILLEGAL_TRADE', 'GATEWAY_DRUG']"
"Here's the coding breakdown for the provided text:

* **DRUG_POLICY:** The sentence directly discusses potential changes to ""drug policy"" and sentencing guidelines.
* **HARM:**  The phrase ""simply legalizing a harmful drug"" indicates concern about the negative effects of marijuana. 


Let me know if you have more sentences to code! I'm ready. 
",gemma2:27b,2024-09-11T14:56:56.71786331Z,stop,2302032834,57848189,233,62523000,81,2091898000,"This may require changes in drug policy , and perhaps in sentencing guidelines for marijuana users charged with simple possession , but simply legalizing a harmful drug — that is , giving up — is not a responsible option .","['DRUG_POLICY', 'HARM']",2,"['HARM', 'DRUG_POLICY']"
"Here's a breakdown of the labels for the given text:

* **LEGAL_DRUGS:** The sentence argues for ""national legalization"", implying marijuana should be treated similarly to legal substances like tobacco and alcohol. 
* **HEALTH/PSYCHOLOGICAL_EFFECTS:**  The mention of ""health effects"" indicates this aspect is being considered in the argument for legalization.
* **NATIONAL_BUDGET:** While not explicitly stated, the phrase ""the balance falls squarely on the side of national legalization"" suggests economic considerations (like potential tax revenue) are part of the argument.
* **COMMUNITY/SOCIATAL_EFFECTS:**  The inclusion of ""impact on society and law-and-order issues"" clearly points to this aspect being discussed. 


Let me know if you have any other text examples you'd like me to code!",gemma2:27b,2024-09-11T14:57:01.45409212Z,stop,4730771539,54455102,237,73461000,173,4509545000,"But neither are there such answers about tobacco or alcohol , and we believe that on every level — health effects , the impact on society and law-and-order issues — the balance falls squarely on the side of national legalization .",['LEGAL_DRUGS'],4,"['HEALTH/PSYCHOLOGICAL_EFFECTS', 'LEGAL_DRUGS', 'COMMUNITY/SOCIATAL_EFFECTS', 'NATIONAL_BUDGET']"
"Here's the breakdown of the coding for the given text:

* **LEGAL_DRUGS:** This is directly related to the debate about marijuana legalization.
* **HEALTH/PSYCHOLOGICAL_EFFECTS:** The statement mentions drug users not being able to perform at work, implying potential negative effects on cognitive function. 
* **NATIONAL_BUDGET:** While not explicitly stated, opposition from the Chamber of Commerce could stem from concerns about lost productivity and increased social welfare costs, indirectly relating to the national budget. 


Let me know if you have any other sentences you'd like coded! 
",gemma2:27b,2024-09-11T14:57:04.904578055Z,stop,3360634364,57928361,233,62708000,123,3195709000,"The California Chamber of Commerce has also expressed its opposition to the legalization of marijuana , citing that drug users will not be able to perform at work and that passage could create a new class of protected California citizens .",['HEALTH/PSYCHOLOGICAL_EFFECTS'],3,"['HEALTH/PSYCHOLOGICAL_EFFECTS', 'LEGAL_DRUGS', 'NATIONAL_BUDGET']"
"HEALTH/PSYCHOLOGICAL_EFFECTS 
HARM  
ADDICTION 
DRUG_ABUSE 
",gemma2:27b,2024-09-11T14:57:05.812084579Z,stop,860938822,53737203,213,52369000,25,625470000,A recent survey of all the medical literature concluded that regular use of cannabis actually doubled your risk of psychosis .,['HEALTH/PSYCHOLOGICAL_EFFECTS'],4,"['DRUG_ABUSE', 'HARM', 'HEALTH/PSYCHOLOGICAL_EFFECTS', 'ADDICTION']"
"NATIONAL_BUDGET 
",gemma2:27b,2024-09-11T14:57:06.147947543Z,stop,288600040,54384710,220,58080000,6,130526000,"Ducey 's argument that the costs "" will far , far outweigh any tax revenue "" is a guess , according to the JLBC .",['NATIONAL_BUDGET'],1,['NATIONAL_BUDGET']
"HARM 

ILLEGAL_TRADE 
",gemma2:27b,2024-09-11T14:57:06.615800009Z,stop,420065957,58158843,221,56603000,11,260222000,"If drug use increases with legalization , so will such forms of related violent crime as assaults , drugged driving , child abuse , and domestic violence .","['COMMUNITY/SOCIATAL_EFFECTS', 'DRUG_ABUSE', 'CHILD_AND_TEEN_SAFETY']",2,"['HARM', 'ILLEGAL_TRADE']"
"GATEWAY_DRUG 
",gemma2:27b,2024-09-11T14:57:07.008293566Z,stop,344171124,56678714,229,61793000,8,182048000,"And when I 'm saying that , I 'm talking about big peer reviewed studies done by reputable places that have shown us , without a doubt , that it is a gateway substance .",['GATEWAY_DRUG'],1,['GATEWAY_DRUG']
"DRUG_POLICY, HARM 
",gemma2:27b,2024-09-11T14:57:07.444489606Z,stop,388682719,59147041,214,49904000,10,235439000,"The United Nations Office of Drugs and Crime has also acknowledged the many "" unintended negative consequences "" of drug enforcement .",['COMMUNITY/SOCIATAL_EFFECTS'],2,"['HARM', 'DRUG_POLICY']"
