,precision,recall,f1-score,support
ADDICTION,0.48 ± 0.03,0.94 ± 0.04,0.64 ± 0.04,12.00 ± 0.00
CHILD_AND_TEEN_SAFETY,0.74 ± 0.01,0.90 ± 0.00,0.81 ± 0.01,21.00 ± 0.00
COMMUNITY/SOCIATAL_EFFECTS,0.74 ± 0.02,0.34 ± 0.01,0.47 ± 0.01,39.00 ± 0.00
DRUG_ABUSE,0.16 ± 0.03,0.19 ± 0.04,0.18 ± 0.03,12.00 ± 0.00
DRUG_POLICY,0.40 ± 0.02,0.70 ± 0.07,0.51 ± 0.03,19.00 ± 0.00
GATEWAY_DRUG,0.76 ± 0.08,1.00 ± 0.00,0.86 ± 0.06,11.00 ± 0.00
HARM,0.14 ± 0.01,0.61 ± 0.05,0.23 ± 0.01,18.00 ± 0.00
HEALTH/PSYCHOLOGICAL_EFFECTS,0.42 ± 0.01,0.89 ± 0.02,0.57 ± 0.01,37.00 ± 0.00
ILLEGAL_TRADE,0.43 ± 0.03,0.82 ± 0.00,0.56 ± 0.03,17.00 ± 0.00
LEGAL_DRUGS,0.20 ± 0.04,0.33 ± 0.06,0.25 ± 0.05,17.00 ± 0.00
MEDICAL_MARIJUANA,0.82 ± 0.02,0.81 ± 0.02,0.81 ± 0.02,24.00 ± 0.00
NATIONAL_BUDGET,0.64 ± 0.04,0.93 ± 0.02,0.75 ± 0.03,23.00 ± 0.00
PERSONAL_FREEDOM,0.67 ± 0.00,0.75 ± 0.00,0.71 ± 0.00,8.00 ± 0.00
micro avg,0.43 ± 0.00,0.70 ± 0.01,0.54 ± 0.00,258.00 ± 0.00
macro avg,0.51 ± 0.00,0.71 ± 0.02,0.56 ± 0.00,258.00 ± 0.00
weighted avg,0.53 ± 0.00,0.70 ± 0.01,0.56 ± 0.00,258.00 ± 0.00
samples avg,0.52 ± 0.00,0.73 ± 0.01,0.58 ± 0.00,258.00 ± 0.00
