,precision,recall,f1-score,support
ADDICTION,0.21568627450980393,0.9166666666666666,0.3492063492063492,12.0
CHILD_AND_TEEN_SAFETY,0.4418604651162791,0.9047619047619048,0.59375,21.0
COMMUNITY/SOCIATAL_EFFECTS,0.2222222222222222,0.10256410256410256,0.14035087719298245,39.0
DRUG_ABUSE,0.15555555555555556,0.5833333333333334,0.24561403508771928,12.0
DRUG_POLICY,0.21311475409836064,0.6842105263157895,0.325,19.0
GATEWAY_DRUG,0.3448275862068966,0.9090909090909091,0.5,11.0
HARM,0.15584415584415584,0.6666666666666666,0.25263157894736843,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.37777777777777777,0.918918918918919,0.5354330708661418,37.0
ILLEGAL_TRADE,0.23333333333333334,0.8235294117647058,0.36363636363636365,17.0
LEGAL_DRUGS,0.21052631578947367,0.47058823529411764,0.2909090909090909,17.0
MEDICAL_MARIJUANA,0.4166666666666667,0.8333333333333334,0.5555555555555556,24.0
NATIONAL_BUDGET,0.4473684210526316,0.7391304347826086,0.5573770491803278,23.0
PERSONAL_FREEDOM,0.1,0.75,0.17647058823529413,8.0
micro avg,0.26595744680851063,0.6782945736434108,0.38209606986899564,258.0
macro avg,0.2719064252440889,0.715599572576389,0.3758411199090149,258.0
weighted avg,0.29325962198956734,0.6782945736434108,0.38684385179376346,258.0
samples avg,0.36691370644859017,0.6899224806201549,0.4506997653509281,258.0
