,precision,recall,f1-score,support
ADDICTION,0.23404255319148937,0.9166666666666666,0.3728813559322034,12.0
CHILD_AND_TEEN_SAFETY,0.5,0.9523809523809523,0.6557377049180327,21.0
COMMUNITY/SOCIATAL_EFFECTS,0.391304347826087,0.23076923076923078,0.2903225806451613,39.0
DRUG_ABUSE,0.1794871794871795,0.5833333333333334,0.27450980392156865,12.0
DRUG_POLICY,0.24,0.631578947368421,0.34782608695652173,19.0
GATEWAY_DRUG,0.36,0.8181818181818182,0.5,11.0
HARM,0.16666666666666666,0.7777777777777778,0.27450980392156865,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.36904761904761907,0.8378378378378378,0.512396694214876,37.0
ILLEGAL_TRADE,0.25925925925925924,0.8235294117647058,0.39436619718309857,17.0
LEGAL_DRUGS,0.13043478260869565,0.35294117647058826,0.19047619047619047,17.0
MEDICAL_MARIJUANA,0.47619047619047616,0.8333333333333334,0.6060606060606061,24.0
NATIONAL_BUDGET,0.5517241379310345,0.6956521739130435,0.6153846153846154,23.0
PERSONAL_FREEDOM,0.08955223880597014,0.75,0.16,8.0
micro avg,0.2777777777777778,0.6782945736434108,0.39414414414414417,258.0
macro avg,0.30366994315495976,0.7079986661382852,0.39957474150880334,258.0
weighted avg,0.33859469567950207,0.6782945736434108,0.4216741762205675,258.0
samples avg,0.3659671723625212,0.682170542635659,0.447752647868927,258.0
