,precision,recall,f1-score,support
ADDICTION,0.23 ± 0.01,0.92 ± 0.00,0.37 ± 0.02,12.00 ± 0.00
CHILD_AND_TEEN_SAFETY,0.48 ± 0.03,0.95 ± 0.04,0.64 ± 0.04,21.00 ± 0.00
COMMUNITY/SOCIATAL_EFFECTS,0.38 ± 0.12,0.22 ± 0.09,0.28 ± 0.11,39.00 ± 0.00
DRUG_ABUSE,0.16 ± 0.01,0.58 ± 0.00,0.26 ± 0.01,12.00 ± 0.00
DRUG_POLICY,0.23 ± 0.01,0.67 ± 0.02,0.34 ± 0.01,19.00 ± 0.00
GATEWAY_DRUG,0.36 ± 0.01,0.85 ± 0.04,0.50 ± 0.01,11.00 ± 0.00
HARM,0.16 ± 0.01,0.74 ± 0.05,0.26 ± 0.01,18.00 ± 0.00
HEALTH/PSYCHOLOGICAL_EFFECTS,0.38 ± 0.01,0.88 ± 0.03,0.53 ± 0.02,37.00 ± 0.00
ILLEGAL_TRADE,0.26 ± 0.02,0.82 ± 0.00,0.39 ± 0.02,17.00 ± 0.00
LEGAL_DRUGS,0.17 ± 0.03,0.43 ± 0.06,0.24 ± 0.04,17.00 ± 0.00
MEDICAL_MARIJUANA,0.46 ± 0.03,0.85 ± 0.02,0.59 ± 0.03,24.00 ± 0.00
NATIONAL_BUDGET,0.51 ± 0.05,0.77 ± 0.07,0.61 ± 0.04,23.00 ± 0.00
PERSONAL_FREEDOM,0.10 ± 0.01,0.79 ± 0.06,0.18 ± 0.02,8.00 ± 0.00
micro avg,0.28 ± 0.01,0.70 ± 0.03,0.40 ± 0.02,258.00 ± 0.00
macro avg,0.30 ± 0.02,0.73 ± 0.02,0.40 ± 0.02,258.00 ± 0.00
weighted avg,0.33 ± 0.03,0.70 ± 0.03,0.42 ± 0.03,258.00 ± 0.00
samples avg,0.38 ± 0.02,0.71 ± 0.03,0.46 ± 0.02,258.00 ± 0.00
