,precision,recall,f1-score,support
ADDICTION,0.5,0.75,0.6,12.0
CHILD_AND_TEEN_SAFETY,0.8571428571428571,0.8571428571428571,0.8571428571428571,21.0
COMMUNITY/SOCIATAL_EFFECTS,0.5263157894736842,0.5128205128205128,0.5194805194805194,39.0
DRUG_ABUSE,0.16279069767441862,0.5833333333333334,0.2545454545454545,12.0
DRUG_POLICY,0.234375,0.7894736842105263,0.3614457831325301,19.0
GATEWAY_DRUG,0.75,0.8181818181818182,0.782608695652174,11.0
HARM,0.12643678160919541,0.6111111111111112,0.20952380952380953,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.34408602150537637,0.8648648648648649,0.49230769230769234,37.0
ILLEGAL_TRADE,0.24,0.7058823529411765,0.3582089552238806,17.0
LEGAL_DRUGS,0.08333333333333333,0.17647058823529413,0.11320754716981132,17.0
MEDICAL_MARIJUANA,0.625,0.8333333333333334,0.7142857142857143,24.0
NATIONAL_BUDGET,0.375,0.9130434782608695,0.5316455696202531,23.0
PERSONAL_FREEDOM,0.23076923076923078,0.75,0.35294117647058826,8.0
micro avg,0.3177083333333333,0.7093023255813954,0.43884892086330934,258.0
macro avg,0.3888653624236997,0.7050506103412075,0.47287259804271425,258.0
weighted avg,0.40758835092655676,0.7093023255813954,0.48909139391229195,258.0
samples avg,0.39738083621804554,0.7224806201550388,0.48196325638186105,258.0
