response,model,created_at,done_reason,total_duration,load_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration,input_text,gold_label,label_count,mentioned_labels
 COMMUNITY/SOCIATAL_EFFECTS,mistral:7b-instruct-v0.3-fp16,2024-09-11T13:52:05.742291822Z,stop,386815148,9771305,259,26182000,14,261967000,"But Pace , the father of three young children , dismissed the idea that the cannabis industry had fundamentally changed the feel of the community .",['COMMUNITY/SOCIATAL_EFFECTS'],1,['COMMUNITY/SOCIATAL_EFFECTS']
" PERSONAL_FREEDOM, DRUG_POLICY",mistral:7b-instruct-v0.3-fp16,2024-09-11T13:52:06.213122862Z,stop,466368773,50865593,255,24807000,16,301333000,“ Marijuana prohibition makes no more sense than alcohol prohibition did in the early 1900s . ”,['LEGAL_DRUGS'],2,"['DRUG_POLICY', 'PERSONAL_FREEDOM']"
" HEALTH/PSYCHOLOGICAL_EFFECTS, HARM",mistral:7b-instruct-v0.3-fp16,2024-09-11T13:52:06.771792311Z,stop,464350309,50182695,282,26635000,18,342965000,"Marijuana use raises the heart rate from 20 to 100 percent for up to three hours after it has been smoked , increasing the risk of getting other health problems , such as arrhythmia , heart palpitations and heart attack .",['HEALTH/PSYCHOLOGICAL_EFFECTS'],2,"['HARM', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
" LEGAL_DRUGS, NATIONAL_BUDGET, DRUG_POLICY, COMMUNITY/SOCIATAL_EFFECTS, HARM

Explanation: The text discusses the possibility of certain drugs being legally available and regulated by the government. This implies that we are talking about legal drugs (LEGAL_DRUGS). The regulation of these drugs would involve restrictions on various aspects like advertising, age limitations, amount purchased at one time, form of supply, and sales to intoxicated persons (NATIONAL_BUDGET, DRUG_POLICY, COMMUNITY/SOCIATAL_EFFECTS, HARM).",mistral:7b-instruct-v0.3-fp16,2024-09-11T13:52:09.987067098Z,stop,3169459865,5043331,299,29878000,150,3003004000,"Decriminalization or re-legalization would mean that certain drugs would be legally available , but regulated by the government which would mean restrictions on advertising , age limitations , restrictions on the amount purchased at one time , requirements on the form in which certain drugs would be supplied and maybe a ban on sales to intoxicated persons , etc .",['DRUG_POLICY'],5,"['DRUG_POLICY', 'LEGAL_DRUGS', 'HARM', 'NATIONAL_BUDGET', 'COMMUNITY/SOCIATAL_EFFECTS']"
" HARM, GATEWAY_DRUG",mistral:7b-instruct-v0.3-fp16,2024-09-11T13:52:10.340202352Z,stop,304525281,53930345,247,23847000,10,180060000,They also know that marijuana is the starter drug of choice for most criminals .,['GATEWAY_DRUG'],2,"['HARM', 'GATEWAY_DRUG']"
" LEGAL_DRUGS, DRUG_POLICY, HARM",mistral:7b-instruct-v0.3-fp16,2024-09-11T13:52:10.851017608Z,stop,463434606,50038732,272,24903000,18,341789000,"This may require changes in drug policy , and perhaps in sentencing guidelines for marijuana users charged with simple possession , but simply legalizing a harmful drug — that is , giving up — is not a responsible option .","['DRUG_POLICY', 'HARM']",3,"['DRUG_POLICY', 'LEGAL_DRUGS', 'HARM']"
" HEALTH_EFFECTS, NATIONAL_BUDGET, DRUG_POLICY, COMMUNITY_SOCIATAL_EFFECTS",mistral:7b-instruct-v0.3-fp16,2024-09-11T13:52:11.784026264Z,stop,844726773,9159930,277,26433000,37,723439000,"But neither are there such answers about tobacco or alcohol , and we believe that on every level — health effects , the impact on society and law-and-order issues — the balance falls squarely on the side of national legalization .",['LEGAL_DRUGS'],2,"['DRUG_POLICY', 'NATIONAL_BUDGET']"
" LEGAL_DRUGS, NATIONAL_BUDGET, DRUG_POLICY, HARM, DRUG_ABUSE, PERSONAL_FREEDOM",mistral:7b-instruct-v0.3-fp16,2024-09-11T13:52:12.756243198Z,stop,924258476,49632831,273,25012000,41,803083000,"The California Chamber of Commerce has also expressed its opposition to the legalization of marijuana , citing that drug users will not be able to perform at work and that passage could create a new class of protected California citizens .",['HEALTH/PSYCHOLOGICAL_EFFECTS'],6,"['DRUG_ABUSE', 'DRUG_POLICY', 'LEGAL_DRUGS', 'HARM', 'PERSONAL_FREEDOM', 'NATIONAL_BUDGET']"
 HEALTH/PSYCHOLOGICAL_EFFECTS,mistral:7b-instruct-v0.3-fp16,2024-09-11T13:52:13.210478498Z,stop,407046784,54220680,254,24798000,15,281213000,A recent survey of all the medical literature concluded that regular use of cannabis actually doubled your risk of psychosis .,['HEALTH/PSYCHOLOGICAL_EFFECTS'],1,['HEALTH/PSYCHOLOGICAL_EFFECTS']
" DRUG_POLICY, NATIONAL_BUDGET, HARM

The provided text seems to be discussing a policy-related issue (DRUG_POLICY) regarding the budgetary implications (NATIONAL_BUDGET) of legalizing marijuana. The mention of potential costs outweighing tax revenue suggests concerns about negative impacts (HARM), which could refer to economic, social, or health-related harms. However, specific aspects such as health effects, gateway drug, child and teen safety, addiction, personal freedom, illegal trade, and community/societal effects are not directly mentioned in the text.",mistral:7b-instruct-v0.3-fp16,2024-09-11T13:52:16.12092926Z,stop,2821261856,9960420,262,25794000,135,2696945000,"Ducey 's argument that the costs "" will far , far outweigh any tax revenue "" is a guess , according to the JLBC .",['NATIONAL_BUDGET'],3,"['DRUG_POLICY', 'HARM', 'NATIONAL_BUDGET']"
" HEALTH/PSYCHOLOGICAL_EFFECTS, HARM, DRUG_ABUSE, CHILD_AND_TEEN_SAFETY, DOMestic_VIOLENCE",mistral:7b-instruct-v0.3-fp16,2024-09-11T13:52:17.154915346Z,stop,1028408501,51121900,261,24695000,44,863219000,"If drug use increases with legalization , so will such forms of related violent crime as assaults , drugged driving , child abuse , and domestic violence .","['COMMUNITY/SOCIATAL_EFFECTS', 'DRUG_ABUSE', 'CHILD_AND_TEEN_SAFETY']",4,"['DRUG_ABUSE', 'CHILD_AND_TEEN_SAFETY', 'HARM', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
" GATEWAY_DRUG, HEALTH/PSYCHOLOGICAL_EFFECTS",mistral:7b-instruct-v0.3-fp16,2024-09-11T13:52:17.787186709Z,stop,543432379,49888970,269,26349000,22,422631000,"And when I 'm saying that , I 'm talking about big peer reviewed studies done by reputable places that have shown us , without a doubt , that it is a gateway substance .",['GATEWAY_DRUG'],2,"['HEALTH/PSYCHOLOGICAL_EFFECTS', 'GATEWAY_DRUG']"
" HEALTH/PSYCHOLOGICAL_EFFECTS, NATIONAL_BUDGET, ILLEGAL_TRADE, DRUG_POLICY, COMMUNITY/SOCIATAL_EFFECTS

Explanation: The text discusses the unintended negative consequences of drug enforcement, which implies a focus on drug policy, its impact on society and the community, and the national budget (implicitly, due to illegal trade). Additionally, the health and psychological effects of drugs are mentioned, but not explicitly marijuana, so it's inferred that these could potentially apply to marijuana as well.",mistral:7b-instruct-v0.3-fp16,2024-09-11T13:52:20.692891005Z,stop,2859089714,9172410,255,24747000,135,2694005000,"The United Nations Office of Drugs and Crime has also acknowledged the many "" unintended negative consequences "" of drug enforcement .",['COMMUNITY/SOCIATAL_EFFECTS'],5,"['DRUG_POLICY', 'HEALTH/PSYCHOLOGICAL_EFFECTS', 'ILLEGAL_TRADE', 'NATIONAL_BUDGET', 'COMMUNITY/SOCIATAL_EFFECTS']"
" LEGAL_DRUGS, NATIONAL_BUDGET, HARM (implied), COMMUNITY/SOCIATAL_EFFECTS",mistral:7b-instruct-v0.3-fp16,2024-09-11T13:52:21.563920451Z,stop,824580799,50282857,276,25172000,36,702447000,""" We have not seen any statistical increase in marijuana use in Colorado since retail passage , we have not seen an increase in youth use since passage , we have not seen an increase in criminal activity since its passage , "" he said .","['COMMUNITY/SOCIATAL_EFFECTS', 'CHILD_AND_TEEN_SAFETY']",4,"['LEGAL_DRUGS', 'HARM', 'NATIONAL_BUDGET', 'COMMUNITY/SOCIATAL_EFFECTS']"
" HEALTH/PSYCHOLOGICAL_EFFECTS, DRUG_ABUSE, HARM",mistral:7b-instruct-v0.3-fp16,2024-09-11T13:52:22.23704654Z,stop,585418594,9190330,260,25133000,24,461777000,"Six times as many homicides are committed by people under the influence of drugs , as by those who are looking for money to buy drugs .",['COMMUNITY/SOCIATAL_EFFECTS'],3,"['DRUG_ABUSE', 'HARM', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
