,precision,recall,f1-score,support
ADDICTION,0.46 ± 0.03,0.75 ± 0.07,0.57 ± 0.03,12.00 ± 0.00
CHILD_AND_TEEN_SAFETY,0.75 ± 0.08,0.90 ± 0.04,0.82 ± 0.04,21.00 ± 0.00
COMMUNITY/SOCIATAL_EFFECTS,0.53 ± 0.01,0.51 ± 0.04,0.52 ± 0.03,39.00 ± 0.00
DRUG_ABUSE,0.17 ± 0.02,0.67 ± 0.12,0.27 ± 0.03,12.00 ± 0.00
DRUG_POLICY,0.24 ± 0.01,0.77 ± 0.02,0.36 ± 0.01,19.00 ± 0.00
GATEWAY_DRUG,0.63 ± 0.09,0.88 ± 0.04,0.73 ± 0.04,11.00 ± 0.00
HARM,0.11 ± 0.01,0.52 ± 0.07,0.18 ± 0.02,18.00 ± 0.00
HEALTH/PSYCHOLOGICAL_EFFECTS,0.35 ± 0.01,0.88 ± 0.01,0.50 ± 0.01,37.00 ± 0.00
ILLEGAL_TRADE,0.22 ± 0.01,0.71 ± 0.00,0.34 ± 0.02,17.00 ± 0.00
LEGAL_DRUGS,0.09 ± 0.01,0.22 ± 0.03,0.13 ± 0.01,17.00 ± 0.00
MEDICAL_MARIJUANA,0.59 ± 0.03,0.85 ± 0.02,0.69 ± 0.02,24.00 ± 0.00
NATIONAL_BUDGET,0.37 ± 0.02,0.90 ± 0.02,0.53 ± 0.02,23.00 ± 0.00
PERSONAL_FREEDOM,0.22 ± 0.01,0.75 ± 0.00,0.34 ± 0.01,8.00 ± 0.00
micro avg,0.31 ± 0.01,0.72 ± 0.02,0.43 ± 0.01,258.00 ± 0.00
macro avg,0.36 ± 0.02,0.72 ± 0.02,0.46 ± 0.01,258.00 ± 0.00
weighted avg,0.39 ± 0.01,0.72 ± 0.02,0.48 ± 0.01,258.00 ± 0.00
samples avg,0.39 ± 0.00,0.73 ± 0.01,0.48 ± 0.01,258.00 ± 0.00
