,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.3333333333333333,0.625,0.43478260869565216,8.0
COMPETITION/BUSINESS_CHALLENGES,0.42105263157894735,0.38095238095238093,0.4,21.0
ECONOMIC_IMPACT,0.15789473684210525,1.0,0.2727272727272727,12.0
GOVERNMENT,0.45454545454545453,0.5,0.47619047619047616,10.0
LOW,0.34285714285714286,0.8571428571428571,0.4897959183673469,14.0
MOTIVATION/CHANCES,0.625,0.5,0.5555555555555556,20.0
PRICES,0.7209302325581395,0.96875,0.8266666666666667,32.0
SOCIAL_JUSTICE/INJUSTICE,0.7272727272727273,0.6779661016949152,0.7017543859649122,59.0
TURNOVER,0.25,1.0,0.4,5.0
UN/EMPLOYMENT_RATE,0.75,0.8571428571428571,0.8,49.0
WELFARE,0.375,0.5,0.42857142857142855,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.1875,0.6,0.2857142857142857,5.0
micro avg,0.4756756756756757,0.7302904564315352,0.5761047463175123,241.0
macro avg,0.4454488549156541,0.7055795164110842,0.5059798832044664,241.0
weighted avg,0.5909349446818911,0.7302904564315352,0.626298709451097,241.0
samples avg,0.5310996563573883,0.7414089347079038,0.593127147766323,241.0
