,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.32 ± 0.01,0.58 ± 0.06,0.41 ± 0.02,8.00 ± 0.00
COMPETITION/BUSINESS_CHALLENGES,0.36 ± 0.04,0.37 ± 0.02,0.36 ± 0.03,21.00 ± 0.00
ECONOMIC_IMPACT,0.16 ± 0.00,1.00 ± 0.00,0.28 ± 0.00,12.00 ± 0.00
GOVERNMENT,0.48 ± 0.04,0.53 ± 0.05,0.51 ± 0.04,10.00 ± 0.00
LOW,0.33 ± 0.02,0.83 ± 0.03,0.47 ± 0.02,14.00 ± 0.00
MOTIVATION/CHANCES,0.68 ± 0.04,0.48 ± 0.02,0.56 ± 0.02,20.00 ± 0.00
PRICES,0.73 ± 0.01,0.95 ± 0.01,0.83 ± 0.00,32.00 ± 0.00
SOCIAL_JUSTICE/INJUSTICE,0.75 ± 0.02,0.69 ± 0.01,0.72 ± 0.01,59.00 ± 0.00
TURNOVER,0.24 ± 0.02,1.00 ± 0.00,0.39 ± 0.02,5.00 ± 0.00
UN/EMPLOYMENT_RATE,0.76 ± 0.02,0.86 ± 0.01,0.81 ± 0.01,49.00 ± 0.00
WELFARE,0.36 ± 0.02,0.50 ± 0.00,0.42 ± 0.01,6.00 ± 0.00
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.20 ± 0.02,0.67 ± 0.09,0.31 ± 0.04,5.00 ± 0.00
micro avg,0.48 ± 0.00,0.73 ± 0.00,0.58 ± 0.00,241.00 ± 0.00
macro avg,0.45 ± 0.00,0.71 ± 0.01,0.51 ± 0.00,241.00 ± 0.00
weighted avg,0.60 ± 0.01,0.73 ± 0.00,0.63 ± 0.00,241.00 ± 0.00
samples avg,0.53 ± 0.00,0.74 ± 0.00,0.59 ± 0.00,241.00 ± 0.00
