,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.08771929824561403,0.625,0.15384615384615385,8.0
COMPETITION/BUSINESS_CHALLENGES,0.35294117647058826,0.5714285714285714,0.43636363636363634,21.0
ECONOMIC_IMPACT,0.10810810810810811,1.0,0.1951219512195122,12.0
GOVERNMENT,0.15789473684210525,0.6,0.25,10.0
LOW,0.2553191489361702,0.8571428571428571,0.39344262295081966,14.0
MOTIVATION/CHANCES,0.20833333333333334,0.25,0.22727272727272727,20.0
PRICES,0.5636363636363636,0.96875,0.7126436781609196,32.0
SOCIAL_JUSTICE/INJUSTICE,0.6415094339622641,0.576271186440678,0.6071428571428571,59.0
TURNOVER,0.19047619047619047,0.8,0.3076923076923077,5.0
UN/EMPLOYMENT_RATE,0.64,0.6530612244897959,0.6464646464646465,49.0
WELFARE,0.10638297872340426,0.8333333333333334,0.18867924528301888,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.1,0.8,0.17777777777777778,5.0
micro avg,0.2807625649913345,0.6721991701244814,0.3960880195599022,241.0
macro avg,0.2843600640611785,0.711248931069603,0.35803730034786474,241.0
weighted avg,0.4484107783161712,0.6721991701244814,0.4944055606813277,241.0
samples avg,0.35153858169322083,0.6890034364261168,0.4390456622415385,241.0
