,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.10526315789473684,0.5,0.17391304347826086,8.0
COMPETITION/BUSINESS_CHALLENGES,0.2571428571428571,0.42857142857142855,0.32142857142857145,21.0
ECONOMIC_IMPACT,0.11009174311926606,1.0,0.19834710743801653,12.0
GOVERNMENT,0.20930232558139536,0.9,0.33962264150943394,10.0
LOW,0.22,0.7857142857142857,0.34375,14.0
MOTIVATION/CHANCES,0.3333333333333333,0.35,0.34146341463414637,20.0
PRICES,0.6530612244897959,1.0,0.7901234567901234,32.0
SOCIAL_JUSTICE/INJUSTICE,0.5789473684210527,0.559322033898305,0.5689655172413793,59.0
TURNOVER,0.26666666666666666,0.8,0.4,5.0
UN/EMPLOYMENT_RATE,0.6363636363636364,0.5714285714285714,0.6021505376344086,49.0
WELFARE,0.1388888888888889,0.8333333333333334,0.23809523809523808,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.12121212121212122,0.8,0.21052631578947367,5.0
micro avg,0.2981132075471698,0.6556016597510373,0.4098573281452659,241.0
macro avg,0.3025227769261458,0.7106974710788269,0.37736548700325434,241.0
weighted avg,0.4498476990793806,0.6556016597510373,0.4912819909999573,241.0
samples avg,0.35038269290846613,0.6606529209621993,0.43223443223443225,241.0
