,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.09 ± 0.01,0.54 ± 0.06,0.16 ± 0.01,8.00 ± 0.00
COMPETITION/BUSINESS_CHALLENGES,0.26 ± 0.08,0.43 ± 0.12,0.32 ± 0.09,21.00 ± 0.00
ECONOMIC_IMPACT,0.11 ± 0.01,1.00 ± 0.00,0.19 ± 0.01,12.00 ± 0.00
GOVERNMENT,0.17 ± 0.03,0.77 ± 0.12,0.28 ± 0.04,10.00 ± 0.00
LOW,0.23 ± 0.01,0.81 ± 0.03,0.36 ± 0.02,14.00 ± 0.00
MOTIVATION/CHANCES,0.28 ± 0.05,0.30 ± 0.04,0.29 ± 0.05,20.00 ± 0.00
PRICES,0.58 ± 0.05,0.98 ± 0.01,0.73 ± 0.05,32.00 ± 0.00
SOCIAL_JUSTICE/INJUSTICE,0.60 ± 0.03,0.58 ± 0.01,0.59 ± 0.02,59.00 ± 0.00
TURNOVER,0.21 ± 0.04,0.80 ± 0.00,0.33 ± 0.05,5.00 ± 0.00
UN/EMPLOYMENT_RATE,0.65 ± 0.02,0.65 ± 0.07,0.65 ± 0.04,49.00 ± 0.00
WELFARE,0.11 ± 0.02,0.83 ± 0.00,0.20 ± 0.03,6.00 ± 0.00
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.11 ± 0.01,0.80 ± 0.00,0.19 ± 0.01,5.00 ± 0.00
micro avg,0.28 ± 0.01,0.67 ± 0.01,0.40 ± 0.01,241.00 ± 0.00
macro avg,0.28 ± 0.02,0.71 ± 0.01,0.36 ± 0.02,241.00 ± 0.00
weighted avg,0.44 ± 0.01,0.67 ± 0.01,0.49 ± 0.01,241.00 ± 0.00
samples avg,0.35 ± 0.01,0.68 ± 0.01,0.43 ± 0.01,241.00 ± 0.00
