,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.17391304347826086,0.5,0.25806451612903225,8.0
COMPETITION/BUSINESS_CHALLENGES,0.2786885245901639,0.8095238095238095,0.4146341463414634,21.0
ECONOMIC_IMPACT,0.07228915662650602,1.0,0.1348314606741573,12.0
GOVERNMENT,0.3076923076923077,0.8,0.4444444444444444,10.0
LOW,0.3333333333333333,0.9285714285714286,0.49056603773584906,14.0
MOTIVATION/CHANCES,0.45714285714285713,0.8,0.5818181818181818,20.0
PRICES,0.6041666666666666,0.90625,0.725,32.0
SOCIAL_JUSTICE/INJUSTICE,0.6346153846153846,0.559322033898305,0.5945945945945946,59.0
TURNOVER,0.2857142857142857,0.8,0.42105263157894735,5.0
UN/EMPLOYMENT_RATE,0.6166666666666667,0.7551020408163265,0.6788990825688074,49.0
WELFARE,0.19230769230769232,0.8333333333333334,0.3125,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.19230769230769232,1.0,0.3225806451612903,5.0
micro avg,0.3177083333333333,0.7593360995850622,0.4479804161566707,241.0
macro avg,0.34573646759515136,0.8076752205119336,0.44824881175389736,241.0
weighted avg,0.4793939579520674,0.7593360995850622,0.5497047545645506,241.0
samples avg,0.3571328156379703,0.7551546391752577,0.46145066273932256,241.0
