,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.16 ± 0.01,0.54 ± 0.06,0.25 ± 0.01,8.00 ± 0.00
COMPETITION/BUSINESS_CHALLENGES,0.28 ± 0.01,0.79 ± 0.02,0.41 ± 0.01,21.00 ± 0.00
ECONOMIC_IMPACT,0.07 ± 0.00,1.00 ± 0.00,0.14 ± 0.00,12.00 ± 0.00
GOVERNMENT,0.29 ± 0.04,0.73 ± 0.09,0.41 ± 0.06,10.00 ± 0.00
LOW,0.34 ± 0.01,0.88 ± 0.07,0.49 ± 0.02,14.00 ± 0.00
MOTIVATION/CHANCES,0.42 ± 0.02,0.75 ± 0.04,0.54 ± 0.03,20.00 ± 0.00
PRICES,0.59 ± 0.01,0.92 ± 0.01,0.72 ± 0.01,32.00 ± 0.00
SOCIAL_JUSTICE/INJUSTICE,0.63 ± 0.00,0.59 ± 0.02,0.61 ± 0.01,59.00 ± 0.00
TURNOVER,0.28 ± 0.03,0.87 ± 0.09,0.42 ± 0.05,5.00 ± 0.00
UN/EMPLOYMENT_RATE,0.63 ± 0.02,0.74 ± 0.02,0.68 ± 0.02,49.00 ± 0.00
WELFARE,0.17 ± 0.02,0.78 ± 0.08,0.28 ± 0.03,6.00 ± 0.00
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.19 ± 0.01,0.93 ± 0.09,0.32 ± 0.02,5.00 ± 0.00
micro avg,0.32 ± 0.00,0.75 ± 0.01,0.44 ± 0.00,241.00 ± 0.00
macro avg,0.34 ± 0.01,0.79 ± 0.01,0.44 ± 0.01,241.00 ± 0.00
weighted avg,0.47 ± 0.00,0.75 ± 0.01,0.55 ± 0.00,241.00 ± 0.00
samples avg,0.36 ± 0.00,0.75 ± 0.00,0.46 ± 0.00,241.00 ± 0.00
