,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.78125,0.9090909090909091,0.8403361344537815,55.0
COSTS,0.6571428571428571,0.92,0.7666666666666667,25.0
ENERGY_POLICY,0.27906976744186046,0.6666666666666666,0.39344262295081966,18.0
ENVIRONMENTAL_IMPACT,0.7735849056603774,0.803921568627451,0.7884615384615384,51.0
FOSSIL_FUELS,0.7419354838709677,0.9583333333333334,0.8363636363636363,24.0
HEALTH_EFFECTS,0.6744186046511628,0.9354838709677419,0.7837837837837838,31.0
PUBLIC_DEBATE,0.2857142857142857,0.8,0.42105263157894735,5.0
RELIABILITY,0.2916666666666667,0.2916666666666667,0.2916666666666667,24.0
RENEWABLES,0.6153846153846154,0.6956521739130435,0.6530612244897959,23.0
TECHNOLOGICAL_INNOVATION,0.2857142857142857,0.6666666666666666,0.4,6.0
WASTE,0.7272727272727273,1.0,0.8421052631578947,24.0
WEAPONS,0.6,0.8,0.6857142857142857,15.0
micro avg,0.6125,0.813953488372093,0.6990014265335235,301.0
macro avg,0.5594295166266505,0.78729015466104,0.6418878711906514,301.0
weighted avg,0.6423192177393429,0.813953488372093,0.7111979941161669,301.0
samples avg,0.6748511904761905,0.8360119047619048,0.7212266156462585,301.0
