,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.746268656716418,0.9090909090909091,0.819672131147541,55.0
COSTS,0.6571428571428571,0.92,0.7666666666666667,25.0
ENERGY_POLICY,0.27906976744186046,0.6666666666666666,0.39344262295081966,18.0
ENVIRONMENTAL_IMPACT,0.7647058823529411,0.7647058823529411,0.7647058823529411,51.0
FOSSIL_FUELS,0.6764705882352942,0.9583333333333334,0.7931034482758621,24.0
HEALTH_EFFECTS,0.6363636363636364,0.9032258064516129,0.7466666666666667,31.0
PUBLIC_DEBATE,0.3333333333333333,0.8,0.47058823529411764,5.0
RELIABILITY,0.4,0.3333333333333333,0.36363636363636365,24.0
RENEWABLES,0.6666666666666666,0.8695652173913043,0.7547169811320755,23.0
TECHNOLOGICAL_INNOVATION,0.3076923076923077,0.6666666666666666,0.42105263157894735,6.0
WASTE,0.7272727272727273,1.0,0.8421052631578947,24.0
WEAPONS,0.6,0.8,0.6857142857142857,15.0
micro avg,0.6144278606965174,0.8205980066445183,0.7027027027027027,301.0
macro avg,0.5662488686015036,0.7992989846072307,0.6518392648811818,301.0
weighted avg,0.6390693339121163,0.8205980066445183,0.7108737919566179,301.0
samples avg,0.6748511904761905,0.8378720238095239,0.7216305272108843,301.0
