,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.76 ± 0.02,0.90 ± 0.01,0.83 ± 0.01,55.00 ± 0.00
COSTS,0.65 ± 0.00,0.91 ± 0.02,0.76 ± 0.01,25.00 ± 0.00
ENERGY_POLICY,0.28 ± 0.00,0.67 ± 0.00,0.39 ± 0.00,18.00 ± 0.00
ENVIRONMENTAL_IMPACT,0.78 ± 0.01,0.78 ± 0.02,0.78 ± 0.01,51.00 ± 0.00
FOSSIL_FUELS,0.69 ± 0.04,0.93 ± 0.04,0.79 ± 0.04,24.00 ± 0.00
HEALTH_EFFECTS,0.65 ± 0.02,0.91 ± 0.02,0.76 ± 0.02,31.00 ± 0.00
PUBLIC_DEBATE,0.29 ± 0.03,0.73 ± 0.09,0.41 ± 0.05,5.00 ± 0.00
RELIABILITY,0.35 ± 0.04,0.32 ± 0.02,0.33 ± 0.03,24.00 ± 0.00
RENEWABLES,0.63 ± 0.02,0.80 ± 0.07,0.70 ± 0.04,23.00 ± 0.00
TECHNOLOGICAL_INNOVATION,0.29 ± 0.01,0.67 ± 0.00,0.41 ± 0.01,6.00 ± 0.00
WASTE,0.71 ± 0.03,1.00 ± 0.00,0.83 ± 0.02,24.00 ± 0.00
WEAPONS,0.62 ± 0.03,0.80 ± 0.00,0.70 ± 0.02,15.00 ± 0.00
micro avg,0.61 ± 0.01,0.81 ± 0.01,0.70 ± 0.01,301.00 ± 0.00
macro avg,0.56 ± 0.01,0.79 ± 0.01,0.64 ± 0.01,301.00 ± 0.00
weighted avg,0.64 ± 0.00,0.81 ± 0.01,0.71 ± 0.01,301.00 ± 0.00
samples avg,0.67 ± 0.00,0.83 ± 0.00,0.72 ± 0.00,301.00 ± 0.00
