,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.5952380952380952,0.9090909090909091,0.7194244604316546,55.0
COSTS,0.5238095238095238,0.88,0.6567164179104478,25.0
ENERGY_POLICY,0.16417910447761194,0.6111111111111112,0.25882352941176473,18.0
ENVIRONMENTAL_IMPACT,0.6666666666666666,0.8235294117647058,0.7368421052631579,51.0
FOSSIL_FUELS,0.5151515151515151,0.7083333333333334,0.5964912280701754,24.0
HEALTH_EFFECTS,0.4827586206896552,0.9032258064516129,0.6292134831460674,31.0
PUBLIC_DEBATE,0.05128205128205128,0.4,0.09090909090909091,5.0
RELIABILITY,0.19672131147540983,0.5,0.2823529411764706,24.0
RENEWABLES,0.4772727272727273,0.9130434782608695,0.6268656716417911,23.0
TECHNOLOGICAL_INNOVATION,0.1388888888888889,0.8333333333333334,0.23809523809523808,6.0
WASTE,0.39344262295081966,1.0,0.5647058823529412,24.0
WEAPONS,0.5,0.6666666666666666,0.5714285714285714,15.0
micro avg,0.40131578947368424,0.8106312292358804,0.5368536853685368,301.0
macro avg,0.39211759399191376,0.7623611708343785,0.4976557183197809,301.0
weighted avg,0.4779025301069496,0.8106312292358804,0.5888614677327569,301.0
samples avg,0.5107553532776746,0.8404761904761904,0.5936868191332477,301.0
