,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.55 ± 0.04,0.87 ± 0.03,0.67 ± 0.04,55.00 ± 0.00
COSTS,0.48 ± 0.03,0.84 ± 0.03,0.61 ± 0.03,25.00 ± 0.00
ENERGY_POLICY,0.16 ± 0.01,0.57 ± 0.03,0.25 ± 0.01,18.00 ± 0.00
ENVIRONMENTAL_IMPACT,0.63 ± 0.03,0.78 ± 0.04,0.70 ± 0.03,51.00 ± 0.00
FOSSIL_FUELS,0.52 ± 0.02,0.74 ± 0.02,0.61 ± 0.02,24.00 ± 0.00
HEALTH_EFFECTS,0.48 ± 0.02,0.94 ± 0.03,0.63 ± 0.02,31.00 ± 0.00
PUBLIC_DEBATE,0.06 ± 0.02,0.53 ± 0.19,0.11 ± 0.03,5.00 ± 0.00
RELIABILITY,0.21 ± 0.02,0.56 ± 0.05,0.31 ± 0.02,24.00 ± 0.00
RENEWABLES,0.49 ± 0.04,0.84 ± 0.05,0.62 ± 0.03,23.00 ± 0.00
TECHNOLOGICAL_INNOVATION,0.14 ± 0.02,0.89 ± 0.08,0.25 ± 0.03,6.00 ± 0.00
WASTE,0.40 ± 0.04,1.00 ± 0.00,0.57 ± 0.04,24.00 ± 0.00
WEAPONS,0.47 ± 0.03,0.82 ± 0.11,0.59 ± 0.01,15.00 ± 0.00
micro avg,0.39 ± 0.02,0.81 ± 0.01,0.53 ± 0.01,301.00 ± 0.00
macro avg,0.38 ± 0.02,0.78 ± 0.02,0.49 ± 0.01,301.00 ± 0.00
weighted avg,0.46 ± 0.02,0.81 ± 0.01,0.57 ± 0.02,301.00 ± 0.00
samples avg,0.51 ± 0.01,0.83 ± 0.01,0.59 ± 0.00,301.00 ± 0.00
