,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.42105263157894735,0.8727272727272727,0.5680473372781065,55.0
COSTS,0.5714285714285714,0.8,0.6666666666666666,25.0
ENERGY_POLICY,0.15,0.5,0.23076923076923078,18.0
ENVIRONMENTAL_IMPACT,0.4533333333333333,0.6666666666666666,0.5396825396825397,51.0
FOSSIL_FUELS,0.5833333333333334,0.875,0.7,24.0
HEALTH_EFFECTS,0.6756756756756757,0.8064516129032258,0.7352941176470589,31.0
PUBLIC_DEBATE,0.15,0.6,0.24,5.0
RELIABILITY,0.18421052631578946,0.2916666666666667,0.22580645161290322,24.0
RENEWABLES,0.38095238095238093,0.6956521739130435,0.49230769230769234,23.0
TECHNOLOGICAL_INNOVATION,0.16666666666666666,0.6666666666666666,0.26666666666666666,6.0
WASTE,0.6666666666666666,0.8333333333333334,0.7407407407407407,24.0
WEAPONS,0.6875,0.7333333333333333,0.7096774193548387,15.0
micro avg,0.41366223908918404,0.7242524916943521,0.5265700483091788,301.0
macro avg,0.42423498216261374,0.6951248105175173,0.509638238560537,301.0
weighted avg,0.4633056889102526,0.7242524916943521,0.5553037022311095,301.0
samples avg,0.47585227272727276,0.7452380952380953,0.547402374411303,301.0
