,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.43103448275862066,0.9090909090909091,0.5847953216374269,55.0
COSTS,0.45454545454545453,0.8,0.5797101449275363,25.0
ENERGY_POLICY,0.15,0.5,0.23076923076923078,18.0
ENVIRONMENTAL_IMPACT,0.45569620253164556,0.7058823529411765,0.5538461538461539,51.0
FOSSIL_FUELS,0.5806451612903226,0.75,0.6545454545454545,24.0
HEALTH_EFFECTS,0.6410256410256411,0.8064516129032258,0.7142857142857143,31.0
PUBLIC_DEBATE,0.13636363636363635,0.6,0.2222222222222222,5.0
RELIABILITY,0.17857142857142858,0.20833333333333334,0.19230769230769232,24.0
RENEWABLES,0.40540540540540543,0.6521739130434783,0.5,23.0
TECHNOLOGICAL_INNOVATION,0.21428571428571427,1.0,0.35294117647058826,6.0
WASTE,0.6363636363636364,0.875,0.7368421052631579,24.0
WEAPONS,0.45454545454545453,0.6666666666666666,0.5405405405405406,15.0
micro avg,0.4044526901669759,0.7242524916943521,0.5190476190476191,301.0
macro avg,0.39487351814057997,0.7061332323315658,0.4885671464013097,301.0
weighted avg,0.44015547560038937,0.7242524916943521,0.5383551687207245,301.0
samples avg,0.4738839285714285,0.7329613095238096,0.5448091590948734,301.0
