,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.43 ± 0.00,0.90 ± 0.02,0.58 ± 0.01,55.00 ± 0.00
COSTS,0.50 ± 0.05,0.83 ± 0.04,0.62 ± 0.04,25.00 ± 0.00
ENERGY_POLICY,0.16 ± 0.02,0.54 ± 0.05,0.25 ± 0.03,18.00 ± 0.00
ENVIRONMENTAL_IMPACT,0.46 ± 0.01,0.70 ± 0.02,0.56 ± 0.02,51.00 ± 0.00
FOSSIL_FUELS,0.57 ± 0.01,0.83 ± 0.06,0.68 ± 0.02,24.00 ± 0.00
HEALTH_EFFECTS,0.66 ± 0.01,0.80 ± 0.02,0.72 ± 0.01,31.00 ± 0.00
PUBLIC_DEBATE,0.14 ± 0.01,0.60 ± 0.00,0.22 ± 0.02,5.00 ± 0.00
RELIABILITY,0.21 ± 0.04,0.28 ± 0.05,0.24 ± 0.05,24.00 ± 0.00
RENEWABLES,0.39 ± 0.01,0.65 ± 0.04,0.49 ± 0.01,23.00 ± 0.00
TECHNOLOGICAL_INNOVATION,0.20 ± 0.02,0.89 ± 0.16,0.32 ± 0.04,6.00 ± 0.00
WASTE,0.65 ± 0.01,0.89 ± 0.05,0.75 ± 0.02,24.00 ± 0.00
WEAPONS,0.56 ± 0.10,0.71 ± 0.03,0.62 ± 0.07,15.00 ± 0.00
micro avg,0.41 ± 0.01,0.74 ± 0.02,0.53 ± 0.01,301.00 ± 0.00
macro avg,0.41 ± 0.01,0.72 ± 0.02,0.50 ± 0.01,301.00 ± 0.00
weighted avg,0.45 ± 0.01,0.74 ± 0.02,0.55 ± 0.01,301.00 ± 0.00
samples avg,0.49 ± 0.01,0.75 ± 0.02,0.56 ± 0.02,301.00 ± 0.00
